Student Name,Gender,Attendance,Feedback,Study Hours,Data Science Marks
Student448,M,71,"The Data Science course content is comprehensive and well-structured.,",1,10
Student449,F,79,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further;,10,48
Student450,M,100,Great course!?,9,42
Student451,M,80,"I find the Data Science course material engaging and relevant.,",3,16
Student452,M,80,The Data Science assignments are challenging but rewarding.;,10,53
Student453,F,72,"Too much theory,",15,73
Student454,F,80,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ;",14,73
Student455,F,77,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further!,3,11
Student456,F,98,"I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ,",4,16
Student457,M,86,The instructor explanations in Data Science lectures are clear and easy to understand.?,8,43
Student458,F,96,"The Data Science lab sessions provide valuable hands-on experience.,",1,6
Student459,F,95,"The Data Science assignments are challenging but rewarding.,",4,19
Student460,M,91,I appreciate the guest lectures by industry professionals in the Data Science course.!,15,74
Student461,M,94,I find the practical exercises in Data Science very helpful.?,7,38
Student462,F,70,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.:,12,65
Student463,M,85,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. :",3,13
Student464,F,98,The Data Science lab sessions provide valuable hands-on experience.:,7,40
Student465,F,89,The Data Science course content is comprehensive and well-structured.:,11,50
Student466,M,76,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further:,5,25
Student467,F,91,I find the practical exercises in Data Science very helpful.:,13,62
Student468,M,91,I appreciate the guest lectures by industry professionals in the Data Science course.!,10,46
Student469,M,94,"I find the Data Science course material engaging and relevant.,",11,53
Student470,M,77,"Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further,",9,48
Student471,F,82,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further;,8,42
Student472,F,98,I appreciate the guest lectures by industry professionals in the Data Science course.;,11,56
Student473,F,74,"The Data Science course content is comprehensive and well-structured.,",3,11
Student474,M,96,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. :,14,65
Student475,F,99,I appreciate the guest lectures by industry professionals in the Data Science course.;,12,61
Student476,F,97,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.;",4,24
Student477,M,96,"I wish there were more interactive sessions in the Data Science course.,",7,34
Student478,M,87,I am enjoying learning about Data Science and its applications.;,13,70
Student479,M,81,The Data Science assignments are challenging but rewarding.?,14,72
Student480,F,85,Needs more practical sessions:,2,9
Student481,M,72,"I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ,",10,54
Student482,M,81,I find the practical exercises in Data Science very helpful.:,11,54
Student483,M,95,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further:,6,32
Student484,F,88,Interesting topics!,9,48
Student485,F,89,"Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.,",12,56
Student486,M,87,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.!,9,47
Student487,M,77,I would like more resources for self-study in Data Science.;,6,31
Student488,F,100,Enjoyed the lectures;,12,62
Student489,F,93,I am enjoying learning about Data Science and its applications.;,6,27
Student490,F,99,The Data Science course content is comprehensive and well-structured.:,6,28
Student491,M,82,"Interesting topics,",11,56
Student492,F,97,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional :,10,49
Student493,M,77,I find the practical exercises in Data Science very helpful.!,6,31
Student494,F,79,Too much theory!,3,15
Student495,F,83,Interesting topics!,4,18
Student496,M,84,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.!,6,26
Student497,F,90,Interesting topics!,10,50
Student498,M,84,The Data Science assignments are challenging but rewarding.:,1,5
Student499,F,95,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. !",1,5
Student500,M,75,Enjoyed the lectures!,13,60
Student501,F,83,"I would like more resources for self-study in Data Science.,",7,35
Student502,M,75,I wish there were more interactive sessions in the Data Science course.?,1,1
Student503,M,92,"Enjoyed the lectures,",5,29
Student504,M,70,"Needs more practical sessions,",10,49
Student505,M,79,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.:",11,56
Student506,M,88,"very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ,",8,44
Student507,M,80,"Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.,",6,25
Student508,F,72,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.?,14,69
Student509,F,96,Enjoyed the lectures:,15,78
Student510,M,92,"Enjoyed the lectures,",3,12
Student511,M,99,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ;,14,66
Student512,F,75,I find the Data Science course material engaging and relevant.!,2,14
Student513,M,78,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ;",14,66
Student514,F,94,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ,",15,72
Student515,F,78,Great course!:,14,65
Student516,M,98,I find the practical exercises in Data Science very helpful.!,2,6
Student517,M,73,"The instructor explanations in Data Science lectures are clear and easy to understand.,",4,20
Student518,M,100,The Data Science lab sessions provide valuable hands-on experience.!,,47
Student519,M,72,Too much theory;,9,43
Student520,F,100,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further:,1,1
Student521,F,89,"I find the practical exercises in Data Science very helpful.,",5,24
Student522,M,88,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ?",9,42
Student523,M,92,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ;",14,69
Student524,F,80,The Data Science assignments are challenging but rewarding.!,14,67
Student525,M,88,The Data Science assignments are challenging but rewarding.!,4,25
Student526,F,100,"The Data Science course content is comprehensive and well-structured.,",11,53
Student527,M,86,"Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.,",7,34
Student528,F,77,The Data Science lab sessions provide valuable hands-on experience.;,11,56
Student529,F,75,The Data Science assignments are challenging but rewarding.!,6,26
Student530,F,74,I appreciate the guest lectures by industry professionals in the Data Science course.;,13,65
Student531,F,77,The Data Science lab sessions provide valuable hands-on experience.;,4,20
Student532,M,96,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ;,10,50
Student533,M,77,"Great course!,",14,71
Student534,F,72,Great course!;,11,60
Student535,F,88,"I am enjoying learning about Data Science and its applications.,",15,72
Student536,F,85,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ;",12,59
Student537,M,79,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.;",7,38
Student538,M,92,Enjoyed the lectures:,7,38
Student539,M,72,"The Data Science course content is comprehensive and well-structured.,",2,11
Student540,M,78,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,7,38
Student541,M,77,Great course!;,13,62
Student542,F,77,I wish there were more interactive sessions in the Data Science course.!,,71
Student543,M,94,I would like more resources for self-study in Data Science.:,9,40
Student544,M,77,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,6,31
Student545,M,89,I find the Data Science course material engaging and relevant.?,12,57
Student546,M,76,I find the practical exercises in Data Science very helpful.?,6,27
Student547,F,83,"Great course!,",11,56
Student548,F,91,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,13,67
Student549,F,86,I wish there were more interactive sessions in the Data Science course.!,6,28
Student550,M,81,I am enjoying learning about Data Science and its applications.?,12,55
Student551,F,74,The Data Science assignments are challenging but rewarding.?,13,64
Student552,F,71,I am enjoying learning about Data Science and its applications.:,2,14
Student553,M,94,The Data Science course content is comprehensive and well-structured.:,12,58
Student554,F,84,Enjoyed the lectures:,6,33
Student555,M,80,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ,",6,27
Student556,F,84,The Data Science lab sessions provide valuable hands-on experience.!,9,43
Student557,M,100,I find the Data Science course material engaging and relevant.:,2,14
Student558,F,82,"The instructor explanations in Data Science lectures are clear and easy to understand.,",9,42
Student559,F,88,Too much theory!,5,22
Student560,M,81,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. !",15,76
Student561,F,100,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ;",9,44
Student562,M,84,I appreciate the guest lectures by industry professionals in the Data Science course.;,10,49
Student563,F,81,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further:,10,48
Student564,M,92,I find the Data Science course material engaging and relevant.?,2,14
Student565,F,87,"very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ,",14,72
Student566,F,92,I would like more resources for self-study in Data Science.?,5,20
Student567,F,98,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional !,11,60
Student568,M,73,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.:,13,68
Student569,M,80,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ;,2,15
Student570,M,91,I find the Data Science course material engaging and relevant.!,5,28
Student571,F,84,The Data Science lab sessions provide valuable hands-on experience.;,7,40
Student572,M,94,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.!",12,59
Student573,M,93,I would like more resources for self-study in Data Science.;,,70
Student574,F,94,The Data Science course content is comprehensive and well-structured.:,7,31
Student575,M,99,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ;,12,56
Student576,M,74,Enjoyed the lectures?,11,55
Student577,M,74,The Data Science course content is comprehensive and well-structured.?,7,39
Student578,F,89,"Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further,",5,28
Student579,M,94,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further!,15,72
Student580,M,99,"I am enjoying learning about Data Science and its applications.,",7,37
Student581,M,79,"Great course!,",6,26
Student582,F,93,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.:",7,34
Student583,M,91,"I wish there were more interactive sessions in the Data Science course.,",5,23
Student584,F,79,I appreciate the guest lectures by industry professionals in the Data Science course.;,12,59
Student585,M,99,I wish there were more interactive sessions in the Data Science course.!,2,8
Student586,F,99,"I would like more resources for self-study in Data Science.,",9,40
Student587,M,91,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. !",2,5
Student588,M,75,Too much theory;,3,15
Student589,F,75,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.!",9,47
Student590,F,92,Too much theory:,2,11
Student591,M,75,The Data Science lab sessions provide valuable hands-on experience.:,13,63
Student592,M,93,I wish there were more interactive sessions in the Data Science course.?,14,69
Student593,M,76,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. !",15,77
Student594,M,87,"The Data Science course content is comprehensive and well-structured.,",8,40
Student595,M,95,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. !",13,67
Student596,M,73,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ?",12,60
Student597,F,83,I appreciate the guest lectures by industry professionals in the Data Science course.!,13,67
Student598,F,80,The Data Science lab sessions provide valuable hands-on experience.?,13,63
Student599,F,76,"I find the Data Science course material engaging and relevant.,",3,19
Student600,F,87,"The instructor explanations in Data Science lectures are clear and easy to understand.,",15,71
Student601,M,89,"I would like more resources for self-study in Data Science.,",6,27
Student602,F,71,"I wish there were more interactive sessions in the Data Science course.,",9,44
Student603,F,100,"Great course!,",10,48
Student604,F,71,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ,",10,49
Student605,F,99,The Data Science assignments are challenging but rewarding.;,3,10
Student606,M,76,"Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further,",9,40
Student607,F,80,Interesting topics?,7,31
Student608,F,100,I am enjoying learning about Data Science and its applications.?,5,30
Student609,M,87,Needs more practical sessions;,8,36
Student610,M,89,Enjoyed the lectures:,6,32
Student611,F,76,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.?",7,39
Student612,F,91,"Too much theory,",3,13
Student613,F,89,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ,",13,65
Student614,M,94,Enjoyed the lectures!,10,46
Student615,F,74,Great course!;,11,50
Student616,M,71,I wish there were more interactive sessions in the Data Science course.!,6,31
Student617,M,83,Needs more practical sessions:,11,53
Student618,F,76,The Data Science course content is comprehensive and well-structured.?,3,13
Student619,F,79,I find the Data Science course material engaging and relevant.!,7,31
Student620,M,97,"Great course!,",10,53
Student621,M,87,"The Data Science lab sessions provide valuable hands-on experience.,",6,26
Student622,M,77,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. :",10,49
Student623,M,92,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,12,60
Student624,M,85,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ;,8,37
Student625,M,83,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ;,8,45
Student626,F,97,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. :",6,27
Student627,F,78,I find the Data Science course material engaging and relevant.!,2,10
Student628,F,75,Needs more practical sessions!,14,69
Student629,F,76,I find the Data Science course material engaging and relevant.?,10,49
Student630,M,95,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. :",13,64
Student631,M,99,"I appreciate the guest lectures by industry professionals in the Data Science course.,",10,53
Student632,F,99,Great course!:,6,32
Student633,F,78,The instructor explanations in Data Science lectures are clear and easy to understand.:,1,3
Student634,F,76,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. !",13,65
Student635,F,78,Enjoyed the lectures;,6,29
Student636,F,93,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ;,6,35
Student637,M,90,I would like more resources for self-study in Data Science.;,6,30
Student638,M,76,I find the Data Science course material engaging and relevant.!,12,65
Student639,F,81,I find the Data Science course material engaging and relevant.!,9,47
Student640,F,92,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ?",4,20
Student641,F,86,"I would like more resources for self-study in Data Science.,",11,55
Student642,F,89,The Data Science assignments are challenging but rewarding.;,7,31
Student643,F,90,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. :",11,56
Student644,F,81,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional :,3,12
Student645,F,91,"Too much theory,",8,41
Student646,F,92,I find the practical exercises in Data Science very helpful.!,15,74
Student647,M,74,"Enjoyed the lectures,",2,8
Student648,F,87,I wish there were more interactive sessions in the Data Science course.!,15,79
Student649,F,74,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further:,2,5
Student650,F,74,"Too much theory,",5,27
Student651,M,76,"The Data Science lab sessions provide valuable hands-on experience.,",1,1
Student652,F,98,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further!,15,79
Student653,M,72,The Data Science assignments are challenging but rewarding.:,1,7
Student654,F,70,I am enjoying learning about Data Science and its applications.;,14,71
Student655,M,97,Great course!?,11,52
Student656,M,75,"I appreciate the guest lectures by industry professionals in the Data Science course.,",3,20
Student657,F,97,"I find the practical exercises in Data Science very helpful.,",6,31
Student658,F,76,The Data Science course content is comprehensive and well-structured.?,10,45
Student659,F,96,I wish there were more interactive sessions in the Data Science course.:,12,59
Student660,M,95,Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.:,6,26
Student661,M,100,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ,",8,36
Student662,F,77,Needs more practical sessions:,7,32
Student663,M,83,I appreciate the guest lectures by industry professionals in the Data Science course.!,1,6
Student664,F,92,Needs more practical sessions!,1,1
Student665,M,84,I appreciate the guest lectures by industry professionals in the Data Science course.!,4,18
Student666,F,76,The Data Science course content is comprehensive and well-structured.;,1,3
Student667,F,76,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. :",1,0
Student668,M,70,Enjoyed the lectures;,15,76
Student669,M,78,"very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ,",10,48
Student670,M,94,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ,",1,0
Student671,M,76,"Great course!,",11,52
Student672,M,94,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. !",3,17
Student673,F,96,Interesting topics?,13,63
Student674,F,89,"I wish there were more interactive sessions in the Data Science course.,",10,45
Student675,M,76,Too much theory?,2,11
Student676,M,87,I find the Data Science course material engaging and relevant.;,11,57
Student677,M,83,"The instructor explanations in Data Science lectures are clear and easy to understand.,",10,49
Student678,F,91,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further!,8,43
Student679,F,84,I appreciate the guest lectures by industry professionals in the Data Science course.:,7,36
Student680,F,87,The Data Science course content is comprehensive and well-structured.?,10,48
Student681,F,79,I find the Data Science course material engaging and relevant.:,13,68
Student682,F,72,I wish there were more interactive sessions in the Data Science course.?,8,40
Student683,F,96,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. !",4,25
Student684,F,98,I find the practical exercises in Data Science very helpful.:,14,72
Student685,M,80,I wish there were more interactive sessions in the Data Science course.;,9,41
Student686,F,70,"I would like more resources for self-study in Data Science.,",5,24
Student687,F,92,The Data Science assignments are challenging but rewarding.:,7,32
Student688,F,97,"I find the Data Science course material engaging and relevant.,",4,19
Student689,F,71,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,1,7
Student690,M,85,"Enjoyed the lectures,",11,55
Student691,M,72,Too much theory:,12,55
Student692,M,97,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. !",8,41
Student693,M,86,"I would like more resources for self-study in Data Science.,",9,49
Student694,F,72,"I am enjoying learning about Data Science and its applications.,",13,60
Student695,M,80,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ,",9,40
Student696,F,73,I am enjoying learning about Data Science and its applications.!,10,48
Student697,M,99,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further:,14,73
Student698,M,76,"Good for fundamental knowledge of data science and data scientists. It is also inspiring for young people like me to get ready to step into the world of data science.,",8,42
Student699,M,91,I appreciate the guest lectures by industry professionals in the Data Science course.!,1,9
Student700,F,85,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,3,12
Student701,M,86,I wish there were more interactive sessions in the Data Science course.!,5,25
Student702,M,80,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ?",7,30
Student703,M,73,"Enjoyed the lectures,",12,64
Student704,F,94,"Enjoyed the lectures,",8,35
Student705,F,72,Interesting topics;,1,5
Student706,F,91,Interesting topics?,5,24
Student707,F,96,"Interesting topics,",3,15
Student708,F,85,I find the Data Science course material engaging and relevant.:,7,38
Student709,M,71,The Data Science course content is comprehensive and well-structured.!,6,29
Student710,F,74,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,12,56
Student711,M,94,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,15,70
Student712,F,97,The instructor explanations in Data Science lectures are clear and easy to understand.?,1,10
Student713,M,87,Interesting topics;,11,51
Student714,F,72,I appreciate the guest lectures by industry professionals in the Data Science course.:,2,12
Student715,M,97,Needs more practical sessions?,5,20
Student716,F,71,I wish there were more interactive sessions in the Data Science course.:,5,25
Student717,F,71,Too much theory?,1,4
Student718,F,91,"The instructor explanations in Data Science lectures are clear and easy to understand.,",11,59
Student719,M,91,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,12,65
Student720,F,90,I am enjoying learning about Data Science and its applications.!,12,63
Student721,M,99,"Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further,",4,18
Student722,M,71,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. ?,12,59
Student723,F,85,The Data Science assignments are challenging but rewarding.!,9,44
Student724,M,70,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.:",9,50
Student725,F,98,"I find the practical exercises in Data Science very helpful.,",15,71
Student726,M,98,The Data Science lab sessions provide valuable hands-on experience.!,5,30
Student727,F,88,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further;,7,31
Student728,M,88,The instructor explanations in Data Science lectures are clear and easy to understand.;,11,58
Student729,M,78,"The Data Science assignments are challenging but rewarding.,",2,7
Student730,F,89,Interesting topics?,1,5
Student731,F,99,Interesting topics?,15,73
Student732,M,99,I appreciate the guest lectures by industry professionals in the Data Science course.?,12,58
Student733,M,78,Enjoyed the lectures?,2,9
Student734,F,98,The Data Science lab sessions provide valuable hands-on experience.;,15,74
Student735,M,80,I am enjoying learning about Data Science and its applications.:,13,66
Student736,M,70,Enjoyed the lectures:,4,21
Student737,M,88,"I would like more resources for self-study in Data Science.,",6,25
Student738,M,86,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ;,3,15
Student739,M,75,I find the practical exercises in Data Science very helpful.!,2,8
Student740,F,70,The instructor explanations in Data Science lectures are clear and easy to understand.:,13,61
Student741,M,87,Needs more practical sessions:,7,35
Student742,F,78,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ?",8,41
Student743,M,96,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ;,9,41
Student744,F,70,The Data Science course content is comprehensive and well-structured.?,11,51
Student745,F,73,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.!",12,64
Student746,F,91,I would like more resources for self-study in Data Science.;,10,55
Student747,M,99,I appreciate the guest lectures by industry professionals in the Data Science course.;,13,66
Student748,M,87,Very nice course and it has a piece of very nice information taught by professionals. The content is related to the practical application of concepts which increase interest in you to proceed further!,8,43
Student749,F,86,I appreciate the guest lectures by industry professionals in the Data Science course.;,2,7
Student750,M,89,The Data Science lab sessions provide valuable hands-on experience.;,3,12
Student751,F,88,I find the Data Science course material engaging and relevant.;,15,77
Student752,F,92,I wish there were more interactive sessions in the Data Science course.;,1,1
Student753,M,92,The Data Science assignments are challenging but rewarding.!,1,8
Student754,M,97,"Interesting topics,",15,76
Student755,M,83,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. !",6,32
Student756,M,95,Interesting topics!,3,18
Student757,F,96,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ,",4,17
Student758,F,76,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional !,10,50
Student759,M,78,The Data Science course content is comprehensive and well-structured.;,12,62
Student760,F,94,The Data Science lab sessions provide valuable hands-on experience.;,8,35
Student761,M,89,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. :",5,25
Student762,F,78,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,12,57
Student763,M,84,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ,",14,72
Student764,M,80,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.?",11,58
Student765,F,76,The Data Science course content is comprehensive and well-structured.!,6,29
Student766,M,75,The Data Science assignments are challenging but rewarding.?,9,41
Student767,F,96,very useful. i liked and enjoyed the journey of learning in these five weeks. the instructor is very clear and taught very interestingly. Thanks to her. she looked poised and cheerful and professional ?,14,71
Student768,F,78,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. :",11,55
Student769,F,73,"I wish there were more interactive sessions in the Data Science course.,",11,55
Student770,M,86,Enjoyed the lectures;,2,5
Student771,F,75,Needs more practical sessions!,3,10
Student772,F,98,The Data Science assignments are challenging but rewarding.?,5,25
Student773,M,86,The instructor explanations in Data Science lectures are clear and easy to understand.;,2,10
Student774,M,95,I wish there were more interactive sessions in the Data Science course.:,8,38
Student775,M,94,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. !",2,12
Student776,F,83,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. :,4,23
Student777,F,74,Great course!!,14,70
Student778,F,87,Enjoyed the lectures:,3,19
